title,link,section,description
IPC Section 375 » Rape.,http://devgan.in/ipc/section/375/,Section 375,"A man is said to commit “rape” if he—
	 
		 penetrates his penis, to any extent, into the vagina, mouth, urethra or anus of a woman or makes her to do so with him or any other person; or 
		 inserts, to any extent, any object or a part of the body, not being the penis, into the vagina, the urethra or anus of a woman or makes her to do so with him or any other person; or 
		 manipulates any part of the body of a woman so as to cause penetration into the vagina, urethra, anus or any part of body of such woman or makes her to do so with him or any other person; or 
		 applies his mouth to the vagina, anus, urethra of a woman or makes her to do so with him or any other person, under the circumstances falling under any of the following seven descriptions 1 : 
	 

	 
		 Against her will. 
		 Without her consent. 
		 With her consent, when her consent has been obtained by putting her or any person in whom she is interested, in fear of death or of hurt. 
		 With her consent, when the man knows that he is not her husband and that her consent is given because she believes that he is another man to whom she is or believes herself to be lawfully married. 
		 With her consent when, at the time of giving such consent, by reason of unsoundness of mind or intoxication or the administration by him personally or through another of any stupefying or unwholesome Substance, she is unable to understand the nature and consequences of that to which she gives consent. 
		 With or without her consent, when she is under eighteen years of age. 
		 When she is unable to communicate consent. 
	 

 Explanations 

	 
		 For the purposes of this section, “vagina” shall also include labia majora. 
		 Consent means an unequivocal voluntary agreement when the woman by words, gestures or any form of verbal or non-verbal communication, communicates willingness to participate in the specific sexual act; 
 Provided  that a woman who does not physically resist to the act of penetration shall not by the reason only of that fact, be regarded as consenting to the sexual activity. 
	 

 Exceptions 

	 
		 A medical procedure or intervention shall not constitute rape. 
		 Sexual intercourse or sexual acts by a man with his own wife, the wife not being under fifteen years of age, is not rape. 
	 

 1  Criminal Law (Amendment) Act, 2013"
IPC Section 374 » Unlawful compulsory labour.,http://devgan.in/ipc/section/374/,Section 374,"Whoever unlawfully compels any person to labour against the will of that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
"IPC Section 373 » Buying minor for purposes of prostitution, etc..",http://devgan.in/ipc/section/373/,Section 373,"Whoever buys, hires or otherwise obtains possession of any person under the age of eighteen years with intent that such person shall at any age be employed or used for the purpose of prostitution or illicit intercourse with any person or for any unlawful and immoral purpose, or knowing it to be likely that such person will at any age be employed or used for any such purpose, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
"IPC Section 372 » Selling minor for purposes of prostitution, etc..",http://devgan.in/ipc/section/372/,Section 372,"Whoever sells, lets to hire, or otherwise disposes of any person under the age of eighteen years with intent that such person shall at any age be employed or used for the purpose of prostitution or illicit intercourse with any person or for any unlawful and immoral purpose, or knowing it to be likely that such person will at any age be employed or used for any such purpose, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
IPC Section 371 » Habitual dealing in slaves.,http://devgan.in/ipc/section/371/,Section 371,"Whoever habitually imports, exports, removes, buys, sells traffics or deals in slaves, shall be punished with imprisonment for life, or with imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine."
IPC Section 370A » Exploitation of a trafficked person.,http://devgan.in/ipc/section/370A/,Section 370A,"	 
		 Whoever, knowingly or having reason to believe that a minor has been trafficked 1 , engages such minor for sexual exploitation in any manner, shall be punished with rigorous imprisonment for a term which shall not be less than five years, but which may extend to seven years, and shall also be liable to fine. 
		 Whoever, knowingly by or having reason to believe that a person has been trafficked 1 , engages such person for sexual exploitation in any manner, shall be punished With rigorous imprisonment for a term which shall not be less than three years, but which may extend to five years, and shall also be liable to fine. 
	 

 1  Criminal Law (Amendment) Act, 2013"
IPC Section 370 » Trafficking of persons.,http://devgan.in/ipc/section/370/,Section 370,"	 
		 Whoever, for the purpose of exploitation, (a) recruits, (b) transports, ( c) harbours, (d) transfers, or (e) receives, a person or persons, by—
		 
			 using threats, or 
			 using force, or any other form of coercion, or 
			 by abduction, or 
			 by practising fraud, or deception, or 
			 by abuse of power, or 
			 by inducement, including the giving or receiving of payments or benefits, in order to achieve the consent of any person having control over the person recruited, transported, harboured, transferred or received, 
commits the offence of trafficking 1 . 
 
 Explanations 
1. The expression “exploitation” shall include any act of physical exploitation or any form of sexual exploitation, slavery or practices similar to slavery, servitude, or the forced removal of organs. 
2. The consent of the victim is immaterial in determination of the offence of trafficking 1 . 
		 
		 Whoever commits the offence of trafficking shall be punished with rigorous imprisonment for a term which shall not be less than seven years, but which may extend to ten years, and shall also be liable to fine. 
		 Where the offence involves the trafficking 1  of more than one person, it shall be punishable with rigorous imprisonment for a term which shall not be less than ten years but which may extend to imprisonment for life, and shall also be liable to fine. 
		 Where the offence involves the trafficking of a minor, it shall be punishable with rigorous imprisonment for a term which shall not be less than ten years, but which may extend to imprisonment for life, and shall also be liable to fine. 
		 Where the offence involves the trafficking of more than one minor, it shall be punishable with rigorous imprisonment for a term which shall not be less than fourteen years, but which may extend to imprisonment for life, and shall also be liable to fine. 
		 If a person is convicted of the offence of trafficking of minor on more than one occasion, then such person shall be punished with imprisonment for life, which shall mean imprisonment for the remainder of that person’s natural life, and shall also be liable to fine. 
		 When a public servant or a police officer is involved in the trafficking of any person then, such public servant or police officer shall be punished with imprisonment for life, which shall mean imprisonment for the remainder of that person’s natural life, and shall also be liable to fine. 
	 

 1  Criminal Law (Amendment) Act, 2013 	 
		 Whoever, knowingly or having reason to believe that a minor has been trafficked 1 , engages such minor for sexual exploitation in any manner, shall be punished with rigorous imprisonment for a term which shall not be less than five years, but which may extend to seven years, and shall also be liable to fine. 
		 Whoever, knowingly by or having reason to believe that a person has been trafficked 1 , engages such person for sexual exploitation in any manner, shall be punished With rigorous imprisonment for a term which shall not be less than three years, but which may extend to five years, and shall also be liable to fine. 
	 

 1  Criminal Law (Amendment) Act, 2013"
IPC Section 369 » Kidnapping or abducting child under ten years with intent to steal from its person.,http://devgan.in/ipc/section/369/,Section 369,"Whoever kidnaps or abducts any child under the age of ten years with the intention of taking dishonestly any movable property from the person of such child, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
"IPC Section 368 » Wrongfully concealing or keeping in confinement, kidnapped or abducted person.",http://devgan.in/ipc/section/368/,Section 368,"Whoever, knowing that any person has been kidnapped or has been abducted, wrongfully conceals or confines such person, shall be punished in the same manner as if he had kidnapped or abducted such person with the same intention or knowledge, or for the same purpose as that with or for which he conceals or detains such person in confinement."
"IPC Section 367 » Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc..",http://devgan.in/ipc/section/367/,Section 367,"Whoever kidnaps or abducts any person in order that such person may be subjected, or may be so disposed of as to be put in danger of being subjected to grievous hurt, or slavery, or to the unnatural lust of any person, or knowing it to be likely that such person will be so subjected or disposed of, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
IPC Section 366B » Importation of girl from foreign country.,http://devgan.in/ipc/section/366B/,Section 366B,"Whoever imports into India from any country outside India or from the State of Jammu and Kashmir any girl under the age of twenty-one years with intent that she may be, or knowing it to be likely that she will be, forced or seduced to illicit intercourse with another person, shall be punishable with imprisonment which may extend to ten years, and shall also be liable to fine."
IPC Section 366A » Procuration of minor girl.,http://devgan.in/ipc/section/366A/,Section 366A,"Whoever, by any means whatsoever, induces any minor girl under the age of eighteen years to go from any place or to do any act with intent that such girl may be, or knowing that it is likely that she will be, forced or seduced to illicit intercourse with another person shall be punishable with imprisonment which may extend to ten years, and shall also be liable to fine."
"IPC Section 366 » Kidnapping, abducting or inducing woman to compel her marriage, etc..",http://devgan.in/ipc/section/366/,Section 366,"Whoever kidnaps or abducts any woman with intent that she may be compelled, or knowing it to be likely that she will be compelled, to marry any person against her will, or in order that she may be forced or seduced to illicit intercourse, or knowing it to be likely that she will be forced or seduced to illicit intercourse, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; 

 And  whoever, by means of criminal intimidation as defined in this Code or of abuse of authority or any other method of compulsion, induces any woman to go from any place with intent that she may be, or knowing that it is likely that she will be, forced or seduced to illicit intercourse with another person shall also be punishable as aforesaid. Whoever, by any means whatsoever, induces any minor girl under the age of eighteen years to go from any place or to do any act with intent that such girl may be, or knowing that it is likely that she will be, forced or seduced to illicit intercourse with another person shall be punishable with imprisonment which may extend to ten years, and shall also be liable to fine. Whoever imports into India from any country outside India or from the State of Jammu and Kashmir any girl under the age of twenty-one years with intent that she may be, or knowing it to be likely that she will be, forced or seduced to illicit intercourse with another person, shall be punishable with imprisonment which may extend to ten years, and shall also be liable to fine."
IPC Section 365 » Kidnapping or abducting with intent secretly and wrongfully to confine person.,http://devgan.in/ipc/section/365/,Section 365,"Whoever kidnaps or abducts any person with intent to cause that person to be secretly and wrongfully confined, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
"IPC Section 364A » Kidnapping for ransom, etc..",http://devgan.in/ipc/section/364A/,Section 364A,"Whoever kidnaps or abducts any person or keeps a person in detention after such kidnapping or abduction, and threatens to cause death or hurt to such person, or by his conduct gives rise to a reasonable apprehension that such person may be put to death or hurt, or causes hurt or death to such person in order to compel the Government or any foreign State or international inter-governmental organisation or any other person to do or abstain from doing any act or to pay a ransom, shall be punishable with death or imprisonment for life, and shall also be liable to fine."
IPC Section 364 » Kidnapping or abducting in order to murder.,http://devgan.in/ipc/section/364/,Section 364,"Whoever kidnaps or abducts any person in order that such person may be murdered or may be so disposed of as to be put in danger of being murdered, shall be punished with imprisonment for life or rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine. Whoever kidnaps or abducts any person or keeps a person in detention after such kidnapping or abduction, and threatens to cause death or hurt to such person, or by his conduct gives rise to a reasonable apprehension that such person may be put to death or hurt, or causes hurt or death to such person in order to compel the Government or any foreign State or international inter-governmental organisation or any other person to do or abstain from doing any act or to pay a ransom, shall be punishable with death or imprisonment for life, and shall also be liable to fine."
IPC Section 363A » Kidnapping or maiming a minor for purposes of begging.,http://devgan.in/ipc/section/363A/,Section 363A,"	 
		 Whoever kidnaps any minor or, not being the lawful guardian of a minor, obtains the custody of the minor, in order that such minor may be employed or used for the purposes of begging shall be punishable with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. 
		 Whoever maims any minor in order that such minor may be employed or used for the purposes of begging shall be punishable with imprisonment for life, and shall also be liable to fine. 
		 Where any person, not being the lawful guardian of a minor, employs or uses such minor for the purposes of begging, it shall be presumed, unless the contrary is proved, that he kidnapped or otherwise obtained the custody of that minor in order that the minor might be employed or used for the purposes of begging. 
		 In this section
		 
			 “begging” means:
			 
				 soliciting or receiving alms in a public place, whether under the pretence of singing, dancing, fortunetelling, performing tricks or selling articles or otherwise; 
				 entering on any private premises for the purpose of soliciting or receiving alms; 
				 exposing or exhibiting, with the object of obtaining or extorting alms, any sore, wound, injury, deformity or disease, whether of himself or of any other person or of an animal; 
				 using a minor as an exhibit for the purpose of soliciting or receiving alms; 
			 
			 “minor” means:
			 
				 in the case of a male, a person under sixteen years of age; and 
				 in the case of a female, a person under eighteen years of age. 
			 
			 
			"
IPC Section 363 » Punishment for kidnapping.,http://devgan.in/ipc/section/363/,Section 363,"Whoever kidnaps any person from India or from lawful guardianship, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. 	 
		 Whoever kidnaps any minor or, not being the lawful guardian of a minor, obtains the custody of the minor, in order that such minor may be employed or used for the purposes of begging shall be punishable with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. 
		 Whoever maims any minor in order that such minor may be employed or used for the purposes of begging shall be punishable with imprisonment for life, and shall also be liable to fine. 
		 Where any person, not being the lawful guardian of a minor, employs or uses such minor for the purposes of begging, it shall be presumed, unless the contrary is proved, that he kidnapped or otherwise obtained the custody of that minor in order that the minor might be employed or used for the purposes of begging. 
		 In this section
		 
			 “begging” means:
			 
				 soliciting or receiving alms in a public place, whether under the pretence of singing, dancing, fortunetelling, performing tricks or selling articles or otherwise; 
				 entering on any private premises for the purpose of soliciting or receiving alms; 
				 exposing or exhibiting, with the object of obtaining or extorting alms, any sore, wound, injury, deformity or disease, whether of himself or of any other person or of an animal; 
				 using a minor as an exhibit for the purpose of soliciting or receiving alms; 
			 
			 “minor” means:
			 
				 in the case of a male, a person under sixteen years of age; and 
				 in the case of a female, a person under eighteen years of age. 
			 
			 
			"
IPC Section 362 » Abduction.,http://devgan.in/ipc/section/362/,Section 362,"Whoever by force compels, or by any deceitful means induces any person to go from any place, is said to abduct that person."
IPC Section 361 » Kidnapping from lawful guardianship.,http://devgan.in/ipc/section/361/,Section 361,"Whoever takes or entices any minor under sixteen years of age if a male, or under eighteen years of age if a female, or any person of unsound mind, out of the keeping of the lawful guardian of such minor or person of unsound mind, without the consent of such guardian, is said to kidnap such minor or person from lawful guardianship."
IPC Section 360 » Kidnapping from India.,http://devgan.in/ipc/section/360/,Section 360,"Whoever conveys any person beyond the limits of India without the consent of that person, or of some person legally authorized to consent on behalf of that person, is said to kidnap that person from India."
IPC Section 359 » Kidnapping.,http://devgan.in/ipc/section/359/,Section 359,"Kidnapping is of two kinds: kidnapping from India, and kidnapping from lawful guardianship."
IPC Section 358 » Assault or criminal force on grave provocation.,http://devgan.in/ipc/section/358/,Section 358,"Whoever assaults or uses criminal force to any person on grave and sudden provocation given by that person, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both."
IPC Section 357 » Assault or criminal force in attempt wrongfully to confine a person.,http://devgan.in/ipc/section/357/,Section 357,"Whoever assaults or uses criminal force to any person, in attempting wrongfully to confine that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both."
IPC Section 356 » Assault or criminal force in attempt to commit theft of property carried by a person.,http://devgan.in/ipc/section/356/,Section 356,"Whoever assaults or uses criminal force to any person, in attempting to commit theft on any property which that person is then wearing or carrying shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
"IPC Section 355 » Assault or criminal force with intent to dishonour person, otherwise than on grave provocation.",http://devgan.in/ipc/section/355/,Section 355,"Whoever assaults or uses criminal force to any person, intending thereby to dishonour that person, otherwise than on grave and sudden provocation given by that person, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
IPC Section 354D » Stalking.,http://devgan.in/ipc/section/354D/,Section 354D,"(1) Any man who—
	 
		 follows a woman and contacts, or attempts to contact such woman to foster personal interaction repeatedly despite a clear indication of disinterest by such woman; or 
		 monitors the use by a woman of the internet, email or any other form of electronic communication, 
commits the offence of stalking 1 ; 
 
 Provided  that such conduct shall not amount to stalking if the man who pursued it proves that—
		 
			 it was pursued for the purpose of preventing or detecting crime and the man accused of stalking had been entrusted with the responsibility of prevention and detection of crime by the State; or 
			 it was pursued under any law or to comply with any condition or requirement imposed by any person under any law; or 
			 in the particular circumstances such conduct was reasonable and justified. 
		 
		 

 (2) Whoever commits the offence of stalking shall be punished on first conviction with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; and be punished on a second or subsequent conviction, with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine. 

 1  Criminal Law (Amendment) Act, 2013"
IPC Section 354C » Voyeurism.,http://devgan.in/ipc/section/354C/,Section 354C,"Any man who watches, or captures the image of a woman engaging in a private act in circumstances where she would usually have the expectation of not being observed either by the perpetrator or by any other person at the behest of the perpetrator or disseminates such image 1  shall be punished on first conviction with imprisonment of either description for a term which shall not be less than one year, but which may extend to three years, and shall also be liable to fine, and be punished on a second or subsequent conviction, with imprisonment of either description for a term which shall not be less than three years, but which may extend to seven years, and shall also be liable to fine. 

 Explanations 

	 
		 For the purpose of this section, “private act” includes an act of watching carried out in a place which, in the circumstances, would reasonably be expected to provide privacy and where the victim’s genitals, posterior or breasts are exposed or covered only in underwear; or the victim is using a lavatory; or the victim is doing a sexual act that is not of a kind ordinarily done in public. 
		 Where the victim consents to the capture of the images or any act, but not to their dissemination to third persons and where such image or act is disseminated, such dissemination shall be considered an offence under this section. 
	 

 1  Criminal Law (Amendment) Act, 2013"
IPC Section 354B » Assault or use of criminal force to woman with intent to disrobe.,http://devgan.in/ipc/section/354B/,Section 354B,"Any man who assaults or uses criminal force to any woman or abets such act with the intention of disrobing 1  or compelling her to be naked, shall be punished with imprisonment of either description for a term which shall not be less than three years but which may extend to seven years, and shall also be liable to fine. 

 1  Criminal Law (Amendment) Act, 2013"
IPC Section 354A » Sexual harassment and punishment for sexual harassment.,http://devgan.in/ipc/section/354A/,Section 354A,"	 
		 A man committing any of the following acts—
		 
			 physical contact and advances involving unwelcome and explicit sexual overtures; or 
			 a demand or request for sexual favours; or 
			 showing pornography against the will of a woman; or 
			 making sexually coloured remarks, shall be guilty of the offence of sexual harassment 1 . 
		 
		 Any man who commits the offence specified in clause (i) or clause (ii) or clause (iii) of sub-section (1) shall be punished with rigorous imprisonment for a term which may extend to three years, or with fine, or with both. 
		 Any man who commits the offence specified in clause (iv) of sub-section (1) shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both. 
	 

 1  Criminal Law (Amendment) Act, 2013"
IPC Section 354 » Assault or criminal force to woman with intent to outrage her modesty.,http://devgan.in/ipc/section/354/,Section 354,"Whoever assaults or uses criminal force to any woman, intending to outrage or knowing it to be likely that he will there by outrage her modesty 1 , shall be punished with imprisonment of either description for a term which shall not be less than one year but which may extend to five years, and shall also be liable to fine. 

 1  Criminal Law (Amendment) Act, 2013 	 
		 A man committing any of the following acts—
		 
			 physical contact and advances involving unwelcome and explicit sexual overtures; or 
			 a demand or request for sexual favours; or 
			 showing pornography against the will of a woman; or 
			 making sexually coloured remarks, shall be guilty of the offence of sexual harassment 1 . 
		 
		 Any man who commits the offence specified in clause (i) or clause (ii) or clause (iii) of sub-section (1) shall be punished with rigorous imprisonment for a term which may extend to three years, or with fine, or with both. 
		 Any man who commits the offence specified in clause (iv) of sub-section (1) shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both. 
	 

 1  Criminal Law (Amendment) Act, 2013 Any man who assaults or uses criminal force to any woman or abets such act with the intention of disrobing 1  or compelling her to be naked, shall be punished with imprisonment of either description for a term which shall not be less than three years but which may extend to seven years, and shall also be liable to fine. 

 1  Criminal Law (Amendment) Act, 2013 Any man who watches, or captures the image of a woman engaging in a private act in circumstances where she would usually have the expectation of not being observed either by the perpetrator or by any other person at the behest of the perpetrator or disseminates such image 1  shall be punished on first conviction with imprisonment of either description for a term which shall not be less than one year, but which may extend to three years, and shall also be liable to fine, and be punished on a second or subsequent conviction, with imprisonment of either description for a term which shall not be less than three years, but which may extend to seven years, and shall also be liable to fine. 

 Explanations 

	 
		 For the purpose of this section, “private act” includes an act of watching carried out in a place which, in the circumstances, would reasonably be expected to provide privacy and where the victim’s genitals, posterior or breasts are exposed or covered only in underwear; or the victim is using a lavatory; or the victim is doing a sexual act that is not of a kind ordinarily done in public. 
		 Where the victim consents to the capture of the images or any act, but not to their dissemination to third persons and where such image or act is disseminated, such dissemination shall be considered an offence under this section. 
	 

 1  Criminal Law (Amendment) Act, 2013 (1) Any man who—
	 
		 follows a woman and contacts, or attempts to contact such woman to foster personal interaction repeatedly despite a clear indication of disinterest by such woman; or 
		 monitors the use by a woman of the internet, email or any other form of electronic communication, 
commits the offence of stalking 1 ; 
 
 Provided  that such conduct shall not amount to stalking if the man who pursued it proves that—
		 
			 it was pursued for the purpose of preventing or detecting crime and the man accused of stalking had been entrusted with the responsibility of prevention and detection of crime by the State; or 
			 it was pursued under any law or to comply with any condition or requirement imposed by any person under any law; or 
			 in the particular circumstances such conduct was reasonable and justified. 
		 
		 

 (2) Whoever commits the offence of stalking shall be punished on first conviction with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; and be punished on a second or subsequent conviction, with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine. 

 1  Criminal Law (Amendment) Act, 2013"
IPC Section 353 » Assault or criminal force to deter public servant from discharge of his duty.,http://devgan.in/ipc/section/353/,Section 353,"Whoever assaults or uses criminal force to any person being a public servant in the execution of his duty as such public servant, or with intent to prevent or deter that person from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by such person to the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
IPC Section 352 » Punishment for assault or criminal force otherwise than on grave provocation.,http://devgan.in/ipc/section/352/,Section 352,"Whoever assaults or uses criminal force to any person otherwise than on grave and sudden provocation given by that person, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both."
IPC Section 351 » Assault.,http://devgan.in/ipc/section/351/,Section 351,"Whoever makes any gesture, or any preparation intending or knowing it to be likely that such gesture or preparation will cause any person present to apprehend that he who makes that gesture or preparation is about to use criminal force to that person, is said to commit an assault."
IPC Section 350 » Criminal force.,http://devgan.in/ipc/section/350/,Section 350,"Whoever intentionally uses force to any person, without that person’s consent, in order to the committing of any offence, or intending by the use of such force to cause, or knowing it to be likely that by the use of such force he will cause injury, fear or annoyance to the person to whom the force is used, is said to use criminal force to that other."
IPC Section 349 » Force.,http://devgan.in/ipc/section/349/,Section 349,"A person is said to use force to another if he causes motion, change of motion, or cessation of motion to that other, or if he causes to any substance such motion, or change of motion, or cessation of motion as brings that substance into contact with any part of that other’s body, or with anything which that other is wearing or carrying, or with anything so situated that such contact affects that other’s sense of feeling; 

 Provided  that the person causing the motion, or change of motion, or cessation of motion, causes that motion, change of motion, or cessation of motion in one of the three ways hereinafter described:
	 
		 By his own bodily power. 
		 By disposing any substance in such a manner that the motion or change or cessation of motion takes place without any further act on his part, or on the part of any other person. 
		 By inducing any animal to move, to change its motion, or to cease to move. 
	"
"IPC Section 348 » Wrongful confinement to extort confession, or compel restoration of property.",http://devgan.in/ipc/section/348/,Section 348,"Whoever wrongfully confines any person for the purpose of extorting from the person confined or any person interested in the person confined any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the person confined or any person interested in the person confined to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine."
"IPC Section 347 » Wrongful confinement to extort property, or constrain to illegal act.",http://devgan.in/ipc/section/347/,Section 347,"Whoever wrongfully confines any person for the purpose of extorting from the person confined, or from any person interested in the person confined, any property or valuable security or of constraining the person confined or any person interested in such person to do anything illegal or to give any information which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine."
IPC Section 346 » Wrongful confinement in secret.,http://devgan.in/ipc/section/346/,Section 346,"Whoever wrongfully confines any person in such manner as to indicate an intention that the confinement of such person may not be known to any person interested in the person so confined, or to any public servant, or that the place of such confinement may not be known to or discovered by any such person or public servant as hereinbefore mentioned, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any other punishment to which he may be liable for such wrongful confinement."
IPC Section 345 » Wrongful confinement of person for whose liberation writ has been issued.,http://devgan.in/ipc/section/345/,Section 345,"Whoever keeps any person in wrongful confinement, knowing that a writ for the liberation of that person has been duly issued, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any term of imprisonment to which he may be liable under any other section of this Chapter."
IPC Section 344 » Wrongful confinement for ten or more days.,http://devgan.in/ipc/section/344/,Section 344,"Whoever wrongfully confines any person for ten days, or more, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine."
IPC Section 343 » Wrongful confinement for three or more days.,http://devgan.in/ipc/section/343/,Section 343,"Whoever wrongfully confines any person for three days or more, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
IPC Section 342 » Punishment for wrongful confinement.,http://devgan.in/ipc/section/342/,Section 342,"Whoever wrongfully confines any person shall be punished with simple imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both."
IPC Section 341 » Punishment for wrongful restraint.,http://devgan.in/ipc/section/341/,Section 341,"Whoever wrongfully restrains any person shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both."
IPC Section 340 » Wrongful confinement.,http://devgan.in/ipc/section/340/,Section 340,"Whoever wrongfully restrains any person in such a manner as to prevent that person from proceeding beyond certain circumscribing limits, is said “wrongfully to confine” that person."
IPC Section 339 » Wrongful restraint.,http://devgan.in/ipc/section/339/,Section 339,"Whoever voluntarily obstructs any person so as to prevent that person from proceeding in any direction in which that person has a right to proceed, is said wrongfully to restrain that person."
IPC Section 338 » Causing grievous hurt by act endangering life or personal safety of others.,http://devgan.in/ipc/section/338/,Section 338,"Whoever causes  grievous hurt  to any person by doing any act so rashly or negligently as to endanger human life, or the personal safety of others, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine which may extend to one thousand rupees, or with both."
IPC Section 337 » Causing hurt by act endangering life or personal safety of others.,http://devgan.in/ipc/section/337/,Section 337,"Whoever causes hurt to any person by doing any act so rashly or negligently as to endanger human life, or the personal safety of others, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to five hundred rupees, or with both."
IPC Section 336 » Act endangering life or personal safety of others.,http://devgan.in/ipc/section/336/,Section 336,"Whoever does any act so rashly or negligently as to endanger human life or the personal safety others, shall be punished with imprisonment of either description for a term which may extend to three months or with fine which may extend to two hundred and fifty rupees, or with both."
IPC Section 335 » Voluntarily causing grievous hurt on provocation.,http://devgan.in/ipc/section/335/,Section 335,"Whoever voluntarily causes  grievous hurt  on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause grievous hurt to any person other than the person who gave the provocation shall be punished with imprisonment of either description for a term which may extend to four years, or with fine which may extend to two thousand rupees, or with both."
IPC Section 334 » Voluntarily causing hurt on provocation.,http://devgan.in/ipc/section/334/,Section 334,"Whoever voluntarily causes hurt on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause hurt to any person other than the person who gave the provocation, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both."
IPC Section 333 » Voluntarily causing grievous hurt to deter public servant from his duty.,http://devgan.in/ipc/section/333/,Section 333,"Whoever voluntarily causes  grievous hurt  to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
IPC Section 332 » Voluntarily causing hurt to deter public servant from his duty.,http://devgan.in/ipc/section/332/,Section 332,"Whoever voluntarily causes hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
"IPC Section 331 » Voluntarily causing grievous hurt to extort confession, or to compel restoration of property.",http://devgan.in/ipc/section/331/,Section 331,"Whoever voluntarily causes  grievous hurt  for the purpose of extorting from the sufferer or from any person interested in the sufferer any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the sufferer or any person interested in the sufferer to restore or to cause the restoration of any property or valuable security, or to satisfy any claim or demand or to give information which may lead to the restoration of any property or valuable security shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
IPC Section 330 » Voluntarily causing hurt to extort confession or to compel restoration of property.,http://devgan.in/ipc/section/330/,Section 330,"Whoever voluntarily causes hurt, for the purpose of extorting from the sufferer or from any person interested in the sufferer, any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the sufferer or any person interested in the sufferer to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
"IPC Section 329 » Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act.",http://devgan.in/ipc/section/329/,Section 329,"Whoever voluntarily causes  grievous hurt  for the purpose of extorting from the sufferer or from any person interested in the sufferer any property or valuable security, or of constraining the sufferer or any person interested in such sufferer to do anything that is illegal or which may facilitate the commission of an offence, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
